datetime, usd, czk
2020.05.27,9150.53,225212
2020.05.28,9187.12,226112
2020.05.29,9559.66,234452
2020.05.30,9403.94,227337
2020.05.31,9669.66,233761
2020.06.01,9461.26,228723
2020.06.02,10168.09,245686
2020.06.03,9507.28,226706
2020.06.04,9643.13,229663
2020.06.05,9787.28,231614
2020.06.06,9574.91,224701
2020.06.07,9645.06,226348
2020.06.08,9756.87,228972
2020.06.09,9836.7,231731
2020.06.10,9771.19,230428
2020.06.11,9885.76,231252
2020.06.12,9262.65,217763
2020.06.13,9459.23,223409
2020.06.14,9466.89,223590
2020.06.15,9324.1,220218
2020.06.16,9435.75,223739
2020.06.17,9520.37,223646
2020.06.18,9431.46,223031
2020.06.19,9368.91,222818
2020.06.20,9292.97,221199
2020.06.21,9371.19,223061
2020.06.22,9294.66,221239
2020.06.23,9712.7,231110
2020.06.24,9629.09,226408
2020.06.25,9267.61,219637
2020.06.26,9221.79,220631
2020.06.27,9134.98,218398
2020.06.28,8997.8,215119
2020.06.29,9114.81,217916
2020.06.30,9196.72,218817
